,n_sim,Equipo,Desc,Motivo
410,137,Colo-Colo,3,Partido Ant Abs vs Pen Pon
411,138,Coquimbo Unido,1,Último Absoluta
412,138,Universidad de Concepción,2,Último Ponderada
413,138,Iquique,3,Partido Pen Abs vs Pen Pon
414,139,Coquimbo Unido,1,Último Absoluta
415,139,Iquique,2,Último Ponderada
416,139,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
417,140,Coquimbo Unido,1,Último Absoluta
418,140,Universidad de Concepción,2,Último Ponderada
419,140,Iquique,3,Partido Pen Abs vs Pen Pon
420,141,Coquimbo Unido,1,Último Absoluta
421,141,Iquique,2,Último Ponderada
422,141,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
423,142,Coquimbo Unido,1,Último Absoluta
424,142,Iquique,2,Último Ponderada
425,142,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
426,143,Coquimbo Unido,1,Último Absoluta
427,143,Universidad de Concepción,2,Último Ponderada
428,143,Iquique,3,Partido Pen Abs vs Pen Pon
429,144,Coquimbo Unido,1,Último Absoluta
430,144,Iquique,2,Último Ponderada
431,144,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
432,145,Coquimbo Unido,1,Último Absoluta
433,145,Iquique,2,Último Ponderada
434,145,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
435,146,Coquimbo Unido,1,Último Absoluta
436,146,Iquique,2,Último Ponderada
437,146,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
438,147,Coquimbo Unido,1,Último Absoluta
439,147,Iquique,2,Último Ponderada
440,147,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
441,148,Iquique,1,Último Absoluta
442,148,Universidad de Concepción,2,Penúltimo Ponderada
443,148,Curicó Unido,3,Partido Pen Abs vs Ant Pon
444,149,Coquimbo Unido,1,Último Absoluta
445,149,Iquique,2,Último Ponderada
446,149,Audax Italiano,3,Partido Ant Abs vs Pen Pon
447,150,Coquimbo Unido,1,Último Absoluta
448,150,Universidad de Concepción,2,Último Ponderada
449,150,Iquique,3,Partido Pen Abs vs Pen Pon
450,151,Coquimbo Unido,1,Último Absoluta
451,151,Universidad de Concepción,2,Último Ponderada
452,151,Iquique,3,Partido Pen Abs vs Pen Pon
453,152,Coquimbo Unido,1,Último Absoluta
454,152,Iquique,2,Último Ponderada
455,152,Audax Italiano,3,Partido Ant Abs vs Pen Pon
456,153,Coquimbo Unido,1,Último Absoluta
457,153,Universidad de Concepción,2,Último Ponderada
458,153,Iquique,3,Partido Pen Abs vs Pen Pon
459,154,Iquique,1,Último Absoluta
460,154,Universidad de Concepción,2,Penúltimo Ponderada
461,154,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
462,155,Coquimbo Unido,1,Último Absoluta
463,155,Universidad de Concepción,2,Último Ponderada
464,155,Iquique,3,Partido Pen Abs vs Pen Pon
465,156,Coquimbo Unido,1,Último Absoluta
466,156,Universidad de Concepción,2,Último Ponderada
467,156,Iquique,3,Partido Pen Abs vs Pen Pon
468,157,Coquimbo Unido,1,Último Absoluta
469,157,Universidad de Concepción,2,Último Ponderada
470,157,Iquique,3,Partido Pen Abs vs Pen Pon
471,158,Coquimbo Unido,1,Último Absoluta
472,158,Universidad de Concepción,2,Último Ponderada
